1,abandon ,পরিত্যাগ করা,Those who abandon their parents are bad.
2,ability ,ক্ষমতা,Kazi Nazrul lost the ability to speak at old age.
3,able ,সক্ষম,Man are able to achieve nothing without Allahs will.
4,about ,সম্পর্কিত,Fahim knows nothing about journalism.
5,above ,উপরে,A display of fireworks above the town.
6,abroad ,বিদেশে,We usually go abroad for a week in May.
7,absence ,অনুপস্থিতি,The letter had arrived during his absence.
8,absolute ,পরম,Nothing is absolute.
9,absolutely ,একেবারে,He absolutely forgot about his meeting.
10,absorb ,শোষণ,A sponge absorbs water.
11,abuse ,অপব্যবহার,The judge abused his power by imposing the fines.
12,academic ,একাডেমিক,Academic notice has been given.
13,accept ,গ্রহণ,Man should accept his fate.
14,acceptable ,গ্রহণযোগ্য,Child marriage is not acceptable in modern society.
15,access ,অ্যাক্সেস,Students have no access in Teachers room.
16,accident ,দুর্ঘটনা,He died in an accident.
17,accommodation ,থাকার ব্যবস্থা,Polash has no accommodation in dhaka.
18,accompany ,সাথে,Sakib visited zoo accompanied by his friends.
19,according to ,অনুসারে,The game was played according to rules.
20,account ,হিসাব,I have no account in Bank
21,accurate ,নির্ভুল,The result of the math is accurate.
22,accuse ,অভিযুক্ত করা,He is accused of theft.
23,achieve ,অর্জন,Bolt achieved gold medal.
24,achievement ,কৃতিত্ব,Everyone is proud of their achievement.
25,acid ,অ্যাসিড,Acid throwing is a criminal act.
26,acknowledge ,স্বীকৃতি,Great Wall of China is acknowledged as one of the 7 wonder of the world.
27,acquire ,অর্জন,I have acquired great skill in maths.
28,across ,ওপারে,My house is across the river.
29,act ,ভান,My firend has good acting skill.
30,action ,কর্ম,Necessary actions has been taken against robbery.
31,active ,সক্রিয়,Shejan is an active politician.
32,activist ,কর্মী,Munna is a political activist.
33,activity ,ক্রিয়াকলাপ,Write down your daily activity.
34,actor ,অভিনেতা,Who is your favorite actor?
35,actual ,আসল,The police failed to reveal the actual truth.
36,actually ,আসলে,Actually he isn't lying.
37,ad ,বিজ্ঞাপন,Ads help grow buisiness.
38,adapt ,অভিযোজিত,Every species adapt according to its surroundings.
39,add ,যোগ করুন,adding 2 with 3 you will get 5.
40,addition ,যোগ,Addtion of extra player made the team stronger.
41,additional ,অতিরিক্ত,Additonal syllebus is not compulsory.
42,address ,ঠিকানা,Attach the address with the parcel.
43,adequate ,পর্যাপ্ত,The tip was adequate.
44,adjust ,সামঞ্জস্য করুন,Students got perfect resutl adjusting the value of x.
45,administration ,প্রশাসন,Academic administration failed to provide proper guidence of admission.
46,administrative ,প্রশাসনিক,My father is an administrative officer.
47,admire ,প্রশংসা,I admired my mother and she was so happy about it.
48,admission ,ভর্তি,Getting admission in engineering is easier than studying engineering.
49,admit ,মানা,The thief admited his crime.
50,adopt ,গ্রহণ,My neighbour adopted a baby.
51,adult ,প্রাপ্তবয়স্ক,The movie is only for adults.
52,advance ,অগ্রিম,He said sorry in advance.
53,advanced ,উন্নত,Turkey advanced rapidly in last few years.
54,advantage ,সুবিধা,Brazil has advantages in the match against argentina.
55,advert ,বিজ্ঞাপন,Advert the advertisement.
56,advertise ,বিজ্ঞাপন,A group of people tried to advertise illegal ideas.
57,advertisement ,বিজ্ঞাপন,He was selected for the advertisement.
58,advertising ,বিজ্ঞাপন,The youtuber is advertising his channel.
59,advice ,পরামর্শ,My father always gives me advice.
60,advise ,পরামর্শ,Teacher advised the student to study hard.
61,adviser ,উপদেষ্টা,My mother is my adviser.
62,affair ,বিষয়,Mr. Borun had love affairs before marriage.
63,affect ,প্রভাবিত,He was affected by his friends.
64,afford ,সামর্থ,The poor guy couldn’t afford his son a shoe.
65,afraid ,ভীত,The kid is afraid of rat.
66,after ,পরে,She came after me.
67,afternoon ,বিকেল,I like to walk in the afternoon.
68,afterwards ,পরে,He was poor but became rich afterwards.
69,again ,আবার,Argentina has lost to Brazil again.
70,against ,বিরুদ্ধে,Brazil won the match against Argentina.
71,age ,বয়স,My age is 10.
72,aged ,বুড়া,My uncle is an aged man with white hair.
73,agency ,সংস্থা,The national agency couldn’t find their lost agent.
74,agent ,প্রতিনিধি,The agent was sent to investigate in China.
75,aggressive ,আক্রমণাত্মক,The chineese people were aggressive to the agent.
76,ago ,আগে,The news of his disappearance made public 2 days ago.
77,agree ,একমত,All the developed countries agreed to find the agent as soon as possible.
78,agreement ,চুক্তি,UN made an agreement with China.
79,agriculture ,কৃষি,The agriculture in China made a revolution.
80,ahead ,এগিয়ে,Their technology was ahead of their time.
81,aid ,সাহায্য,The poor guy was waiting for others aid.
82,aim ,লক্ষ্য,His aim was to escape the prison.
83,air ,বায়ু,Air pollution was at high rate in China.
84,aircraft ,বিমান,The aircraft landed in China.
85,airline ,বিমান সংস্থা,The British airline contacted with the aircraft.
86,airport ,বিমানবন্দর,The agent went missing from the airport.
87,alarm ,অ্যালার্ম,Mr. Xiong tried to alarm the agent.
88,album ,অ্যালবাম,The woman was holing her marriage album.
89,alcohol ,অ্যালকোহল,She thought alcohol reduced her pain.
90,alive ,জীবিত,She didn’t know if her husband was still alive.
91,all ,সব,All tried to show empathy to the poor woman.
92,all right ,ঠিক আছে,At the end the woman was not allright.
93,allow ,অনুমতি দিন,China didn’t allow the british investigetors entering the country.
94,allowance ,ভাতা,Mycroft was happy to receive his brothers allowance.
95,almost ,প্রায়,One year passed almost everyone forgot about the lost man.
96,alone ,একা,The woman was living alone in the house.
97,along ,বরাবর,Mycroft was living along with his family.
98,alongside ,পাশাপাশি,None stands alongside with you in your bad times except your closed ones.
99,already ,ইতিমধ্যে,Sherlock was already on beache befor the chineese govt knew.
100,also ,এছাড়াও,Watson also visited China also.
101,alter ,পরিবর্তন,Sherlock altered his way to remove his tracks.
102,alternative ,বিকল্প,Watson took the alternative way to the beach.
103,although ,যদিও,Although it was dengerous Watson prioritised the friendship.
104,altogether ,পুরোপুরি,The plan was executed altogether safely.
105,always ,সর্বদা,Sherlock always had faith in his friend.
106,amazing ,আশ্চর্যজনক,The plan worked amazingly.
107,ambition ,উচ্চাশা,Sherlock was ambintious as always.
108,ambulance ,অ্যাম্বুলেন্স,They escaped hiding in an ambulance. 
109,among ,মধ্যে,No one among the police suspected the ambulance.
110,amount ,পরিমাণ,No one can measure the amount of happy she was.
111,an ,একটি,An story can be made form Random words.
112,analyse ,বিশ্লেষণ,The doctor analysed the symptoms of covid 19.
113,analysis ,বিশ্লেষণ,The analysis report is incomplete.
114,analyst ,বিশ্লেষক,The analysist couldn’t find the solution.
115,ancient ,প্রাচীন,Ancient people used to believe that earth is flat.
116,and ,এবং,Human and Jihn are the only intellectual species.
117,anger ,রাগ,Control your anger or lose yourself.
118,angle ,কোণ,The angle of the figure is 90 degree.
119,angry ,রাগান্বিত,Mr. Saitama became angry and punched on the enemys face.
120,animal ,প্রাণী,Cow is a peace loving animal.
121,announce ,ঘোষণা করা,The committee announced new member ship rules.
122,announcement ,ঘোষণা,The announcement is about to begin.
123,annoy ,বিরক্ত করা,My younger brother annoys me all time.
124,annual ,বার্ষিক,The result of the annual exam has been pulished.
125,another ,অন্য,Mr. Garo is a hero in another story.
126,answer ,উত্তর,Answer to the question number 4.
127,anticipate ,পূর্বানুমান,Man cant anticipate his fate.
128,anxiety ,উদ্বেগ,Mr. Mob is on anxiety reduction medicine.
129,anxious ,উদ্বিগ্ন,My mother was anxious as I was late.
130,any ,যে কোন,Any object has good and bad sides.
131,anybody ,যে কেউ,Anybody can question in the classroom.
132,anyhow ,যাইহোক,Anyhow they are good in heart.
133,anyone ,যে কেউ,Anone is allowed to have water during sports.
134,anything ,কিছু,Hey John do you know anything about peter?
135,anyway ,যাইহোক,Anyway I don’t care what happens to you.
136,anywhere ,কোথাও,They couldn’t find water anywhere.
137,apart ,পৃথক্,Apart from bad good doesn’t exist.
138,apartment ,অ্যাপার্টমেন্ট,I have bought an apartment.
139,apologize ,ক্ষমা প্রার্থনা,The government apologized to its people.
140,apology ,ক্ষমা,I ask apology if I have done any wrong.
141,apparent ,আপাত,It seemed good in apparent view.
142,apparently ,স্পষ্টতই,Apparently he was a police officer.
143,appeal ,আবেদন,The victim appealed to higher court for justice.
144,appear ,হাজির,We have appeared in the wrong house.
145,appearance ,চেহারা,His appearance was suspecious.
146,apple ,আপেল,An apple a day keeps doctor away.
147,application ,প্রয়োগ,My application got granted.
148,apply ,প্রয়োগ,I want apply in an engineering university.
149,appoint ,নিয়োগ,The man was appointed as a teacher.
150,appointment ,অ্যাপয়েন্টমেন্ট,I have an appointment with the doctor.
151,appreciate ,প্রশংসা,I appreciate your effort in the project.
152,approach ,পন্থা,There are different approach to reach the same destination.
153,appropriate ,যথাযথ,Many of our country don’t know the appropriate english.
154,approval ,অনুমোদন,We have got our supervisors approval.
155,approve ,অনুমোদন,I can not approve the idea.
156,approximate ,আনুমানিক,The approximate time to finish the job is 30mins.
157,architect ,স্থপতি,The building was designed by an architect.
158,architecture ,আর্কিটেকচার,The architecture of the building is amazing.
159,area ,অঞ্চল,KUET is situated on a large area.
160,argue ,তর্ক,Don’t argue with the fools.
161,argument ,যুক্তি,All the argument behind the theory is strong.
162,arise ,উত্থিত,The batman arisose from the dungeon.
163,arm ,বাহু,His arms are strong.
164,armed ,সশস্ত্র,The police are armed with guns.
165,army ,সেনা,He is an army person.
166,around ,কাছাকাছি,earth moves around the sun.
167,arrange ,ব্যবস্থা করা,I will arrange a party today.
168,arrangement ,ব্যবস্থা,All the arrangment for the party is completed.
169,arrest ,গ্রেফতার,Police will arrest you if you steal.
170,arrival ,আগমন,Mankind is waiting for the arrival of the alien.
171,arrive ,আগমন,We arrived at the party safely.
172,art ,শিল্প,I like ancient art.
173,article ,নিবন্ধ,Paper published an article on smoking.
174,artificial ,কৃত্রিম,Artificial intellegence is growing rapidly.
175,artist ,শিল্পী,We invited a singer artist in the party.
176,as ,যেমন,He is feeling sleepy as he is tired.
177,ashamed ,লজ্জিত,He was ashamed of his sin.
178,aside ,একপাশে,Put aside the difference and become friend.
179,ask ,জিজ্ঞাসা,Ask me one question at a time.
180,asleep ,নিদ্রা,she had been asleep for over three hours.
181,aspect ,দিক,We have to consider all the aspect of the metter.
182,assess ,মূল্যায়ন,Assess the report.
183,assessment ,মূল্যায়ন,The assessment was not as expected.
184,assignment ,অ্যাসাইনমেন্ট,We submited the assignment in time.
185,assist ,সহায়তা করুন,I assist my mom in cooking.
186,assistance ,সহায়তা,I am in need of assistance.
187,assistant ,সহকারী,He hired an assistant for the job.
188,associate ,সহযোগী,His associate was handy in the job.
189,association ,সংঘ,We formed an association to help poor.
190,assume ,ধরে নেওয়া,Police assumed I stole the money.
191,assumption ,ধৃষ্টতা,His assumption was correct.
192,assure ,আশ্বাস দিন,Teacher assured the students in tough times.
193,at ,at,I am good at gaming.
194,atmosphere ,পরিবেশ,Our atmosphere is changing rapidly.
195,attach ,সংযুক্ত করা,attach your safety line to the bridge
196,attack ,আক্রমণ,he doesn't attach too much importance to fixed ideas
197,attempt ,চেষ্টা,They made an attempt to be helpful.
198,attend ,উপস্থিত,the whole sales force attended the conference
199,attention ,মনোযোগ,I lost my attention in the class.
200,attitude ,মনোভাব,he was questioned on his attitude to South Africa
201,attorney ,অ্যাটর্নি,You may appoint an attorney to act on your behalf
202,attract ,আকর্ষণ,I did not want to attract attention
203,attraction ,আকর্ষণ,Potenga seabeach is a great attraction for tourists.
204,attractive ,আকর্ষণীয়,I find my wife attractive.
205,audience ,শ্রোতা,The audiences liked the show.
206,aunt ,খালা,My aunt is sick.
207,author ,লেখক,Awal is the author of the book.
208,authority ,কর্তৃত্ব,Authority didn’t want him to reveal the truth.
209,automatic ,স্বয়ংক্রিয়,I have installed automatic door.
210,automatically ,স্বয়ংক্রিয়ভাবে,The door opened automatically.
211,autumn ,শরত,I love autumn season.
212,available ,উপলব্ধ,My boss is not available right now.
213,average ,গড়,"Average hieght of Bangladeshi male is 5'4""."
214,avoid ,এড়ানোর,I try to avoid danger.
215,awake ,জাগ্রত,The baby was awake all night.
216,award ,পুরষ্কার,Sheikh Hasina was awarded with doctorate degree.
217,aware ,সচেতন,He is not aware of his situation.
218,awareness ,সচেতনতা,Publc awarness about smoking is needed.
219,away ,দূরে,I live far away from the town.
220,awful ,আতঙ্কজনক,It was awful to watch you cry.
221,awkward ,বিশ্রী,The kid made the situation awkward.
222,baby ,বাচ্চা,Mr. Rahim has adopted a baby from orphanage.
223,back ,পেছনে,Do not turn back in exam hall.
224,background ,পটভূমি,The police checked the background of the  suspect.
225,backwards ,পিছনে,Its evolving just backwards.
226,bacon ,বেকন,I hate bacon as a food.
227,bad ,খারাপ,Unfortunately I am having a bad day.
228,badly ,খারাপভাবে,The player is badly injured.
229,bag ,থলে,He took all the vegetable in the bag.
230,bake ,বেক করুন,My mom bakes cake for me.
231,balance ,ভারসাম্য,I is hard to keep balance in space.
232,ball ,বল,The kid wanted to buy a ball.
233,ban ,নিষেধাজ্ঞা,Muslim should ban Israel products
234,band ,ব্যান্ড,My favourite band is LRB.
235,bang ,ঠুং ঠুং শব্দ,I heard a bang in my backyard.
236,bank ,ব্যাংক,Don’t keep your money in non-islamic Bank.
237,bar ,বার,The person behind the bar is called Bartender.
238,barrier ,বাধা,Police made a barrier to stop the protesters.
239,base ,বেস,The base of the building is weak.
240,baseball ,বেসবল,Baseball is a famous sport in Japan.
241,basic ,বেসিক,You shoud have the basic knowledge of Mathematics.
242,basically ,মূলত,You shoud have the basic knowledge of Mathematics.
243,basis ,ভিত্তি,People should be judged on the basis of their character.
244,basket ,ঝুড়ি,I bought a basket of mango.
245,bat ,ব্যাট,Bat is a instrument for cricket.
246,bath ,স্নান,I take my bath regularly to stay clean.
247,bathroom ,পায়খানা,Bathroom should be kept clean daily.
248,battery ,ব্যাটারি,The mobile battery is still healthy.
249,battle ,যুদ্ধ,It’s the battle in our minds that is the important battle.
250,be ,থাকা,I wont to an Youtuber.
251,beach ,সৈকত,Cox's bazar is the world's longest natural sea beach.
252,bean ,শিম,Beans are good for health.
253,bear ,ভালুক,The polar bears are white in color.
254,beard ,দাড়ি,We should keep beard as a muslim.
255,beat ,বীট,Unfortunately Superman couldn’t beat Darksied.
256,beautiful ,সুন্দর,Bangladesh is a beautiful country.
257,beauty ,সৌন্দর্য,Don’t judge people by their beauty.
258,because ,কারণ,I took the covid test because I was sick.
259,become ,হত্তয়া,My sister wants to become a doctor.
260,bed ,বিছানা,I love to sleep in my own bed.
261,bedroom ,শয়নকক্ষ,We should not play in the bedroom.
262,beef ,গরুর মাংস,I love beef as food.
263,beer ,বিয়ার,Beer is bad for health.
264,before ,আগে,Our train arrived before the scheduled time.
265,beforehand ,আগেই,She had phoned beforehand to let me know she was coming.
266,begin ,শুরু,
267,beginning ,শুরু,
268,behalf ,পক্ষে,
269,behave ,আচরণ,
270,behaviour ,আচরণ,
271,behind ,পিছনে,
272,being ,হচ্ছে,
273,belief ,বিশ্বাস,
274,believe ,বিশ্বাস,
275,bell ,বেল,
276,belong ,অন্তর্গত,
277,below ,নিচে,
278,belt ,বেল্ট,
279,bench ,এজলাস,
280,bend ,বাঁকানো,
281,beneath ,নীচে,
282,benefit ,উপকার,
283,beside ,পাশে,
284,best ,সেরা,
285,bet ,বাজি,
286,better ,উত্তম,
287,between ,মধ্যে,
288,beyond ,তার পরেও,
289,bicycle ,সাইকেল,
290,bid ,বিড,
291,big ,বৃহৎ,
292,bike ,বাইক,
293,bill ,বিল,
294,bin ,বিন,
295,bird ,পাখি,
296,birth ,জন্ম,
297,birthday ,জন্মদিন,
298,biscuit ,বিস্কুট,
299,bit ,বিট,
300,bite ,কামড়,
301,bitter ,তেতো,
302,black ,কালো,
303,blade ,ব্লেড,
304,blame ,দোষ,
305,blank ,ফাঁকা,
306,bless ,আশীর্বাদ করুন,
307,blind ,অন্ধ,
308,block ,ব্লক,
309,bloke ,ফোঁটা,
310,blonde ,স্বর্ণকেশী,
311,blood ,রক্ত,
312,blow ,ঘা,
313,blue ,নীল,
314,board ,বোর্ড,
315,boat ,নৌকা,
316,body ,শরীর,
317,boil ,ফুটান,
318,boiler ,বয়লার,
319,boiling ,ফুটন্ত,
320,bomb ,বোমা,
321,bone ,হাড়,
322,bonus ,বোনাস,
323,book ,বই,
324,boom ,বুম,
325,boot ,বুট,
326,border ,সীমানা,
327,bored ,বিরক্ত,
328,boring ,বিরক্তিকর,
329,born ,জন্ম,
330,borrow ,ধার,
331,boss ,বস,
332,both ,উভয়,
333,bother ,বিরক্ত,
334,bottle ,বোতল,
335,bottom ,নীচে,
336,bounce ,বাউন্স,
337,bound ,আবদ্ধ,
338,bowl ,বাটি,
339,box ,বাক্স,
340,boy ,ছেলে,
341,boyfriend ,প্রেমিক,
342,brain ,মস্তিষ্ক,
343,branch ,শাখা,
344,brave ,সাহসী,
345,bread ,রুটি,
346,break ,বিরতি,
347,breakfast ,প্রাতঃরাশ,
348,breast ,স্তন,
349,breath ,শ্বাস,
350,breathe ,শ্বাস,
351,brick ,ইট,
352,bridge ,ব্রিজ,
353,brief ,সংক্ষিপ্ত,
354,briefly ,সংক্ষেপে,
355,bright ,উজ্জ্বল,
356,brilliant ,উজ্জ্বল,
357,bring ,আনা,
358,broad ,বিস্তৃত,
359,brother ,ভাই,
360,brown ,বাদামী,
361,brush ,ব্রাশ,
362,buck ,বক,
363,bucket ,বালতি,
364,buddy ,বন্ধু,
365,budget ,বাজেট,
366,bug ,বাগ,
367,build ,বিল্ড,
368,builder ,নির্মাতা,
369,building ,বিল্ডিং,
370,bump ,ফেলা,
371,bunch ,গুচ্ছ,
372,burn ,পোড়া,
373,burst ,ফেটে,
374,bury ,কবর দেওয়া,
375,bus ,বাস,
376,business ,ব্যবসা,
377,busy ,ব্যস্ত,
378,but ,কিন্তু,
379,butcher ,কসাই,
380,butter ,মাখন,
381,button ,বোতাম,
382,buy ,কেনা,
383,buyer ,ক্রেতা,
384,by ,দ্বারা,
385,bye ,বিদায়,
386,bye  ,বিদায়,
387,cabinet,মন্ত্রিসভা,
388,cable ,তারের,
389,cake ,পিষ্টক,
390,calculate ,গণনা,
391,calculation ,গণনা,
392,calculator ,ক্যালকুলেটর,
393,calendar ,পঞ্জিকা,
394,call ,কল,
395,calm ,শান্ত,
396,camera ,ক্যামেরা,
397,camp ,শিবির,
398,campaign ,প্রচার,
399,can ,করতে পারা,
400,can,করতে পারা,
401,cancel ,বাতিল,
402,cancer ,ক্যান্সার,
403,candidate ,প্রার্থী,
404,candle ,মোমবাতি,
405,candy ,মিছরি,
406,cap ,ক্যাপ,
407,capable ,সক্ষম,
408,capacity ,ক্ষমতা,
409,capital ,মূলধন,
410,captain ,অধিনায়ক,
411,capture ,ক্যাপচার,
412,car ,গাড়ি,
413,card ,কার্ড,
414,care ,যত্ন,
415,career ,কর্মজীবন,
416,careful ,সাবধান,
417,carefully ,সাবধানে,
418,carpet ,কার্পেট,
419,carrot ,গাজর,
420,carry ,বহন,
421,cartoon ,কার্টুন,
422,case ,কেস,
423,cash ,নগদ,
424,cast ,নিক্ষেপ,
425,castle ,দুর্গ,
426,cat ,বিড়াল,
427,catalogue ,ক্যাটালগ,
428,catch ,ধরা,
429,category ,বিভাগ,
430,cause ,কারণ,
431,CD ,সিডি,
432,cease ,বন্ধ করুন,
433,ceiling ,সিলিং,
434,celebrate ,উদযাপন,
435,celebration ,উদযাপন,
436,cell ,কোষ,
437,cellphone ,মুঠোফোন,
438,cent ,শতক,
439,centimetre ,সেন্টিমিটার,
440,central ,কেন্দ্রীয়,
441,centre ,কেন্দ্র,
442,century ,শতাব্দী,
443,cereal ,সিরিয়াল,
444,certain ,নির্দিষ্ট,
445,certainly ,অবশ্যই,
446,certificate ,সনদপত্র,
447,chain ,চেইন,
448,chair ,চেয়ার,
449,chairman ,চেয়ারম্যান,
450,challenge ,চ্যালেঞ্জ,
451,champion ,রক্ষক,
452,championship ,চ্যাম্পিয়নশিপ,
453,chance ,সুযোগ,
454,change ,পরিবর্তন,
455,channel ,চ্যানেল,
456,chap ,অধ্যায়,
457,chapter ,অধ্যায়,
458,character ,চরিত্র,
459,characteristic ,চরিত্রগত,
460,characterize ,বৈশিষ্ট্যযুক্ত,
461,charge ,চার্জ,
462,charity ,দানশীলতা,
463,chart ,চার্ট,
464,chase ,পশ্চাদ্ধাবন,
465,chat ,চ্যাট,
466,cheap ,সস্তা,
