cabinet,মন্ত্রিসভা
cable ,তারের
cake ,পিষ্টক
calculate ,গণনা
calculation ,গণনা
calculator ,ক্যালকুলেটর
calendar ,পঞ্জিকা
call ,কল
calm ,শান্ত
camera ,ক্যামেরা
camp ,শিবির
campaign ,প্রচার
can ,করতে পারা
can,করতে পারা
cancel ,বাতিল
cancer ,ক্যান্সার
candidate ,প্রার্থী
candle ,মোমবাতি
candy ,মিছরি
cap ,ক্যাপ
capable ,সক্ষম
capacity ,ক্ষমতা
capital ,মূলধন
captain ,অধিনায়ক
capture ,ক্যাপচার
car ,গাড়ি
card ,কার্ড
care ,যত্ন
career ,কর্মজীবন
careful ,সাবধান
carefully ,সাবধানে
carpet ,কার্পেট
carrot ,গাজর
carry ,বহন
cartoon ,কার্টুন
case ,কেস
cash ,নগদ
cast ,নিক্ষেপ
castle ,দুর্গ
cat ,বিড়াল
catalogue ,ক্যাটালগ
catch ,ধরা
category ,বিভাগ
cause ,কারণ
CD ,সিডি
cease ,বন্ধ করুন
ceiling ,সিলিং
celebrate ,উদযাপন
celebration ,উদযাপন
cell ,কোষ
cellphone ,মুঠোফোন
cent ,শতক
centimetre ,সেন্টিমিটার
central ,কেন্দ্রীয়
centre ,কেন্দ্র
century ,শতাব্দী
cereal ,সিরিয়াল
certain ,নির্দিষ্ট
certainly ,অবশ্যই
certificate ,সনদপত্র
chain ,চেইন
chair ,চেয়ার
chairman ,চেয়ারম্যান
challenge ,চ্যালেঞ্জ
champion ,রক্ষক
championship ,চ্যাম্পিয়নশিপ
chance ,সুযোগ
change ,পরিবর্তন
channel ,চ্যানেল
chap ,অধ্যায়
chapter ,অধ্যায়
character ,চরিত্র
characteristic ,চরিত্রগত
characterize ,বৈশিষ্ট্যযুক্ত
charge ,চার্জ
charity ,দানশীলতা
chart ,চার্ট
chase ,পশ্চাদ্ধাবন
chat ,চ্যাট
cheap ,সস্তা
cheat ,প্রতারণা
check ,চেক
cheek ,গাল
cheese ,পনির
chemical ,রাসায়নিক
chemist ,রসায়নবিদ
chemistry ,রসায়ন
cheque ,চেক
cherry ,চেরি
chest ,বুক
chicken ,মুরগি
chief ,প্রধান
child ,শিশু
childhood ,শৈশব
chip ,চিপ
chocolate ,চকোলেট
choice ,পছন্দ
choose ,পছন্দ করা
chop ,কাটা
chuck ,ছক
church ,গির্জা
cigarette ,সিগারেট
cinema ,সিনেমা
circle ,বৃত্ত
circuit ,সার্কিট
circumstance ,পরিস্থিতি
citizen ,নাগরিক
city ,শহর
civil ,নাগরিক
claim ,দাবি
class ,ক্লাস
classic ,ক্লাসিক
classical ,ধ্রুপদী
classroom ,শ্রেণিকক্ষ
clean ,পরিষ্কার
cleaner ,পরিষ্কারক
clear ,স্পষ্ট
clearly ,পরিষ্কারভাবে
clerk ,কেরানী
clever ,চালাক
click ,ক্লিক
client ,ক্লায়েন্ট
climate ,জলবায়ু
climb ,আরোহণ
clock ,ঘড়ি
close ,বন্ধ
closed ,বন্ধ
closely ,ঘনিষ্ঠভাবে
closet ,আলমারি
cloth ,কাপড়
clothes ,বস্ত্র
cloud ,মেঘ
club ,ক্লাব
clue ,ক্লু
coach ,কোচ
coal ,কয়লা
coast ,উপকূল
coat ,কোট
code ,কোড
coffee ,কফি
coin ,মুদ্রা
cold ,ঠান্ডা
collapse ,ধস
collar ,কলার
colleague ,সহকর্মী
collect ,সংগ্রহ
collection ,সংগ্রহ
college ,কলেজ
colour ,রঙ
column ,কলাম
combination ,সংমিশ্রণ
combine ,একত্রিত
come ,এসো
comfort ,সান্ত্বনা
comfortable ,আরামপ্রদ
command ,আদেশ
comment ,মন্তব্য
commercial ,ব্যবসায়িক
commission ,কমিশন
commit ,প্রতিশ্রুতিবদ্ধ
commitment ,প্রতিশ্রুতি
committee ,কমিটি
common ,সাধারণ
communicate ,যোগাযোগ
communication ,যোগাযোগ
community ,সম্প্রদায়
company ,প্রতিষ্ঠান
compare ,তুলনা করা
comparison ,তুলনা
compete ,প্রতিদ্বন্দ্বিতা করা
competition ,প্রতিযোগিতা
competitive ,প্রতিযোগিতামূলক
complain ,অভিযোগ
complaint ,অভিযোগ
complete ,সম্পূর্ণ
completely ,সম্পূর্ণরূপে
complex ,জটিল
complicated ,জটিল
component ,উপাদান
comprehensive ,বিস্তৃত
comprise ,অন্তর্ভুক্ত
computer ,কম্পিউটার
concentrate ,ঘন করা
concentration ,একাগ্রতা
concept ,ধারণা
concern ,উদ্বেগ
concerned ,উদ্বিগ্ন
concerning ,সম্পর্কিত
concert ,কনসার্ট
conclude ,উপসংহার
conclusion ,উপসংহার
condition ,শর্ত
conduct ,পরিচালনা
conference ,সম্মেলন
confidence ,আত্মবিশ্বাস
confident ,আত্মবিশ্বাসী
confine ,আবদ্ধ
confirm ,নিশ্চিত করুন
conflict ,দ্বন্দ্ব
confused ,বিভ্রান্ত
confusing ,বিভ্রান্তিকর
confusion ,বিভ্রান্তি
congratulation ,অভিনন্দন
connect ,সংযোগ
connection ,সংযোগ
conscious ,সচেতন
consciousness ,চেতনা
consent ,সম্মতি
consequence ,পরিণতি
consider ,বিবেচনা
considerable ,যথেষ্ট
considerably ,অনেক
consideration ,বিবেচনা
consist ,গঠিত
consistent ,সামঞ্জস্যপূর্ণ
constant ,ধ্রুবক
constantly ,নিয়ত
constitute ,গঠন করা
construct ,নির্মাণ
construction ,নির্মাণ
consult ,পরামর্শ
consumer ,গ্রাহক
consumption ,খরচ
contact ,যোগাযোগ
contain ,ধারণ
contemporary ,সমকালীন
content ,বিষয়বস্তু
contest ,প্রতিযোগিতা
context ,প্রসঙ্গ
continue ,চালিয়ে যান
continuous ,একটানা
contract ,চুক্তি
contrast ,বিপরীতে
contribute ,অবদান
contribution ,অবদান
control ,নিয়ন্ত্রণ
convenient ,সুবিধাজনক
convention ,সম্মেলন
conventional ,প্রচলিত
conversation ,কথোপকথন
convert ,রূপান্তর
conviction ,দৃঢ় বিশ্বাস
convince ,সন্তুষ্ট
cook ,রান্না করুন
cooker ,পাত্র
cookie ,কুকি
cool ,শীতল
cooperation ,সহযোগিতা
cope ,সামলাতে
copy ,অনুলিপি
core ,মূল
corn ,ভুট্টা
corner ,কোণে
correct ,সঠিক
corridor ,করিডোর
cost ,খরচ
cottage ,কটেজ
cotton ,সুতি
could,পারে
council ,পরিষদ
count ,গণনা
counter ,পাল্টা
country ,দেশ
countryside ,পল্লী
county ,কাউন্টি
couple ,দম্পতি
courage ,সাহস
course ,অবশ্যই
court ,আদালত
cousin ,কাজিন
cover ,আবরণ
cow ,গাভী
crack ,ফাটল
craft ,নৈপুণ্য
crash ,ক্রাশ
crazy ,পাগল
create ,সৃষ্টি
creation ,সৃষ্টি
creative ,সৃজনশীল
creature ,জীব
credit ,ক্রেডিট
credit card ,ক্রেডিট কার্ড
crew ,নাবিকদল
crime ,অপরাধ
criminal ,অপরাধী
crisis ,সংকট
criterion ,মানদণ্ড
critic ,সমালোচক
critical ,সমালোচক
criticism ,সমালোচনা
criticize ,সমালোচনা
crop ,ফসল
cross ,ক্রস
crowd ,ভিড়
crown ,মুকুট
crucial ,অত্যন্ত গুরুত্বপূর্ণ
cruel ,নিষ্ঠুর
cry ,কান্নাকাটি
cultural ,সাংস্কৃতিক
culture ,সংস্কৃতি
cup ,কাপ
cupboard ,আলমারি
curious ,কৌতূহলী
currency ,মুদ্রা
current ,কারেন্ট
currently ,বর্তমানে
curtain ,পর্দা
curve ,বক্ররেখা
cushion ,কুশন
custom ,প্রথা
customer ,ক্রেতা
cut ,কাটা
cute ,সুন্দর
cycle ,সাইকেল
