pace ,গতি,
pack ,প্যাক,
package ,প্যাকেজ,
packet ,প্যাকেট,
pad ,প্যাড,
page ,পৃষ্ঠা,
pain ,ব্যথা,
paint ,পেইন্ট,
painting ,পেইন্টিং,
pair ,জোড়,
palace ,প্রাসাদ,
pale ,ফ্যাকাশে,
pan ,প্যান,
panel ,প্যানেল,
panic ,আতঙ্ক,
pants ,প্যান্ট,
paper ,কাগজ,
parcel ,পার্সেল,
pardon  ,ক্ষমা,
parent ,পিতামাতা,
park ,পার্ক,
parking ,পার্কিং,
parliament ,সংসদ,
part ,অংশ,
participate ,অংশগ্রহণ,
particular ,বিশেষ,
particularly ,বিশেষত,
partly ,আংশিকভাবে,
partner ,অংশীদার,
partnership ,অংশীদারিত্ব,
party ,পার্টি,
pass ,পাস,
passage ,উত্তরণ,
passenger ,যাত্রী,
passion ,আবেগ,
past ,অতীত,
path ,পথ,
patience ,ধৈর্য,
patient ,রোগী,
pattern ,প্যাটার্ন,
pause ,বিরতি দিন,
pay ,প্রদান,
payment ,প্রদান,
peace ,শান্তি,
peaceful ,শান্তিপূর্ণ,
peak ,শিখর,
pen ,কলম,
penalty ,জরিমানা,
pencil ,পেন্সিল,
penny ,পয়সা,
pension ,পেনশন,
people ,মানুষ,
pepper ,মরিচ,
per ,প্রতি,
perceive ,উপলব্ধি,
percent ,শতাংশ,
percentage ,শতাংশ,
perception ,উপলব্ধি,
perfect ,নিখুঁত,
perfectly ,পুরোপুরি,
perform ,সম্পাদন,
performance ,কর্মক্ষমতা,
perhaps ,সম্ভবত,
period ,পিরিয়ড,
permanent ,স্থায়ী,
permission ,অনুমতি,
permit ,অনুমতি,
person ,ব্যক্তি,
personal ,ব্যক্তিগত,
personality ,ব্যক্তিত্ব,
personally ,ব্যক্তিগতভাবে,
personnel ,কর্মী,
perspective ,দৃষ্টিভঙ্গি,
persuade ,পটান,
petrol ,পেট্রল,
phase ,পর্যায়,
philosophy ,দর্শন,
phone ,ফোন,
photo ,ফটো,
photocopy ,ফটোকপি,
photograph ,আলোকচিত্র,
phrase ,বাক্যাংশ,
physical ,শারীরিক,
physically ,শারীরিকভাবে,
physics ,পদার্থবিজ্ঞান,
piano ,পিয়ানো,
pick ,বাছাই,
picture ,ছবি,
pie ,পাই,
piece ,টুকরা,
pig ,শূকর,
pile ,গাদা,
pill ,বড়ি,
pilot ,বিমান - চালক,
pin ,পিন,
pink ,গোলাপী,
pint ,পিন্ট,
pipe ,পাইপ,
pitch ,পিচ,
pity ,কৃপা,
pizza ,পিজ্জা,
place ,স্থান,
plain ,সরল,
plan ,পরিকল্পনা,
plane ,প্লেন,
planet ,গ্রহ,
plant ,উদ্ভিদ,
plastic ,প্লাস্টিক,
plate ,প্লেট,
platform ,প্ল্যাটফর্ম,
play ,খেলুন,
player ,প্লেয়ার,
pleasant ,সুখকর,
please ,অনুগ্রহ,
please  ,অনুগ্রহ,
pleased ,খুশি,
pleasure ,আনন্দ,
plenty ,প্রচুর,
plot ,পটভূমি,
plug ,প্লাগ,
plus ,প্লাস,
pocket ,পকেট,
poem ,কবিতা,
poet ,কবি,
poetry ,কবিতা,
point ,পয়েন্ট,
pole ,মেরু,
police ,পুলিশ,
policeman ,পুলিশ,
policy ,নীতি,
polite ,ভদ্র,
political ,রাজনৈতিক,
politician ,রাজনীতিবিদ,
politics ,রাজনীতি,
poll ,পোল,
pollution ,দূষণ,
pond ,পুকুর,
pool ,পুল,
poor ,দরিদ্র,
pop ,পপ,
popular ,জনপ্রিয়,
population ,জনসংখ্যা,
port ,বন্দর,
pose ,অঙ্গবিক্ষেপ,
position ,অবস্থান,
positive ,ধনাত্মক,
possess ,অধিকারী,
possession ,দখল,
possibility ,সম্ভাবনা,
possible ,সম্ভব,
possibly ,সম্ভবত,
post ,পোস্ট,
post office ,ডাক ঘর,
poster ,পোস্টার,
pot ,পাত্র,
potato ,আলু,
potential ,সম্ভাবনা,
pound ,পাউন্ড,
pour ,.ালা,
poverty ,দারিদ্র্য,
power ,শক্তি,
powerful ,ক্ষমতাশালী,
practical ,ব্যবহারিক,
practically ,ব্যবহারিকভাবে,
practice ,অনুশীলন করা,
practise ,অনুশীলন করা,
praise ,প্রশংসা,
pray ,প্রার্থনা,
prayer ,প্রার্থনা,
precise ,সুনির্দিষ্ট,
precisely ,অবিকল,
predict ,পূর্বাভাস,
prefer ,পছন্দ,
preference ,পছন্দ,
pregnant ,গর্ভবতী,
premise ,অনুমান,
preparation ,প্রস্তুতি,
prepare ,প্রস্তুত করা,
prepared ,প্রস্তুত,
presence ,উপস্থিতি,
present ,উপস্থিত,
presentation ,উপস্থাপনা,
preserve ,সংরক্ষণ,
president ,রাষ্ট্রপতি,
press ,টিপুন,
pressure ,চাপ,
presumably ,সম্ভবতঃ,
presume ,অনুমান,
pretend ,ভান করা,
pretty ,সুন্দর,
prevent ,প্রতিরোধ,
previous ,আগে,
previously ,পূর্বে,
price ,দাম,
pride ,গর্ব,
priest ,পুরোহিত,
primarily ,প্রাথমিকভাবে,
primary ,প্রাথমিক,
prince ,রাজপুত্র,
princess ,রাজকুমারী,
principal ,অধ্যক্ষ,
principle ,নীতি,
print ,ছাপা,
printer ,প্রিন্টার,
prior ,পূর্বে,
priority ,অগ্রাধিকার,
prison ,কারাগার,
prisoner ,বন্দী,
private ,ব্যক্তিগত,
privilege ,অধিকার,
prize ,পুরষ্কার,
probably ,সম্ভবত,
problem ,সমস্যা,
procedure ,পদ্ধতি,
proceed ,এগিয়ে যান,
proceeding ,এগিয়ে চলছে,
process ,প্রক্রিয়া,
produce ,উৎপাদন করা,
producer ,প্রযোজক,
product ,পণ্য,
production ,উত্পাদন,
profession ,পেশা,
professional ,পেশাদার,
professor ,অধ্যাপক,
profile ,প্রোফাইল,
profit ,লাভ,
program ,কার্যক্রম,
programme ,কার্যক্রম,
progress ,অগ্রগতি,
project ,প্রকল্প,
promise ,প্রতিশ্রুতি,
promote ,প্রচার করুন,
promotion ,পদোন্নতি,
prompt ,শীঘ্র,
proof ,প্রমাণ,
proper ,সঠিক,
properly ,সঠিকভাবে,
property ,সম্পত্তি,
proportion ,অনুপাত,
proposal ,প্রস্তাব,
propose ,প্রস্তাব,
proposed ,প্রস্তাবিত,
prosecution ,মামলা,
prospect ,সম্ভাবনা,
protect ,রক্ষা করুন,
protection ,সুরক্ষা,
protest ,প্রতিবাদ,
proud ,গর্বিত,
prove ,প্রমাণ,
provide ,সরবরাহ,
provided ,সরবরাহ করা,
providing ,সরবরাহ,
provision ,বিধান,
psychological ,মানসিক,
psychology ,মনস্তত্ত্ব,
pub ,মদের দোকান,
public ,পাবলিক,
publication ,প্রকাশনা,
publicity ,প্রচার,
publish ,প্রকাশ,
publisher ,প্রকাশক,
pudding ,পুডিং,
pull ,টান,
punch ,খোঁচা,
punishment ,শাস্তি,
pupil ,ছাত্র,
purchase ,ক্রয়,
pure ,খাঁটি,
purely ,খাঁটিভাবে,
purple ,বেগুনি,
purpose ,উদ্দেশ্য,
purse ,পার্স,
pursue ,অন্বেষণ করা,
push ,ঠেলা,
put ,করা,
qualification,যোগ্যতা,
qualify ,যোগ্যতা,
quality ,গুণ,
quantity ,পরিমাণ,
quarter ,চতুর্থাংশ,
queen ,রাণী,
question ,প্রশ্ন,
queue ,কিউ,
quick ,দ্রুত,
quickly ,দ্রুত,
quid ,কুইড,
quiet ,শান্ত,
quietly ,নিঃশব্দে,
quit ,ছেড়ে দিন,
quite ,বেশ,
quote ,উদ্ধৃতি,
