sack ,বস্তা,
sad ,দু: খিত,
safe ,নিরাপদ,
safety ,নিরাপত্তা,
sail ,পাল,
sake ,জন্য,
salad ,সালাদ,
salary ,বেতন,
sale ,বিক্রয়,
salt ,লবণ,
same ,একই,
sample ,নমুনা,
sand ,বালু,
sandwich ,স্যান্ডউইচ,
satellite ,উপগ্রহ,
satisfaction ,সন্তোষ,
satisfied ,সন্তুষ্ট,
satisfy ,পরিতৃপ্ত করা,
sauce ,সস,
sausage ,সসেজ,
save ,সংরক্ষণ,
saving ,সংরক্ষণ,
say ,বলুন,
scale ,স্কেল,
scared ,ভীত,
scene ,দৃশ্য,
schedule ,সময়সূচী,
scheme ,পরিকল্পনা,
school ,বিদ্যালয়,
science ,বিজ্ঞান,
scientific ,বৈজ্ঞানিক,
scientist ,বিজ্ঞানী,
scope ,সুযোগ,
score ,স্কোর,
scratch ,স্ক্র্যাচ,
scream ,চিৎকার,
screen ,পর্দা,
screw ,স্ক্রু,
script ,লিপি,
sea ,সমুদ্র,
seal ,সীল,
search ,অনুসন্ধান,
season ,মৌসম,
seat ,আসন,
second ,দ্বিতীয়,
secondary ,মাধ্যমিক,
secondly ,দ্বিতীয়ত,
secret ,গোপন,
secretary ,সেক্রেটারি,
section ,অধ্যায়,
sector ,সেক্টর,
secure ,নিরাপদ,
security ,সুরক্ষা,
see ,দেখা,
seed ,বীজ,
seek ,সন্ধান করা,
seem ,মনে হয়,
seize ,জব্দ করা,
select ,নির্বাচন করুন,
selection ,নির্বাচন,
self ,স্ব,
sell ,বিক্রয়,
send ,প্রেরণ,
senior ,ঊর্ধ্বতন,
sense ,ইন্দ্রিয়,
sensible ,বুদ্ধিমান,
sensitive ,সংবেদনশীল,
sentence ,বাক্য,
separate ,পৃথক,
sequence ,ক্রম,
series ,সিরিজ,
serious ,গুরুতর,
seriously ,গুরুত্ব সহকারে,
servant ,চাকর,
serve ,পরিবেশন,
service ,পরিষেবা,
session ,সেশন,
set ,সেট,
setting ,স্থাপন,
settle ,নিষ্পত্তি,
settlement ,নিষ্পত্তি,
several ,বেশ কয়েকটি,
severe ,গুরুতর,
sew ,সেলাই,
sex ,লিঙ্গ,
sexual ,যৌন,
shadow ,ছায়া,
shake ,ঝাঁকি,
shall ,হবে,
shame ,লজ্জা,
shape ,আকৃতি,
share ,ভাগ,
sharp ,তীক্ষ্ণ,
sharply ,তীব্রভাবে,
shave ,কামান,
she ,সে,
shed ,শেড,
sheep ,ভেড়া,
sheet ,চাদর,
shelf ,বালুচর,
shell ,খোল,
shelter ,আশ্রয়,
shift ,শিফট,
shine ,চকচকে,
ship ,জাহাজ,
shirt ,শার্ট,
shock ,ধাক্কা,
shocked ,বিস্মিত,
shocking ,জঘন্য,
shoe ,জুতো,
shoot ,গুলি,
shop ,দোকান,
shopping ,কেনাকাটা,
short ,সংক্ষিপ্ত,
shortly ,শীঘ্রই,
shot ,গুলি,
should ,উচিত,
shoulder ,কাঁধ,
shout ,চিৎকার,
shove ,ঝাঁকুনি,
show ,দেখান,
shower ,ঝরনা,
shrug ,শ্রাগ,
shut ,বন্ধ,
sick ,অসুস্থ,
side ,পাশ,
sight ,দৃষ্টিশক্তি,
sign ,চিহ্ন,
signal ,সংকেত,
signature ,স্বাক্ষর,
significance,তাৎপর্য,
significant ,তাৎপর্যপূর্ণ,
significantly ,উল্লেখযোগ্যভাবে,
silence ,নীরবতা,
silent ,নীরব,
silly ,নির্বোধ,
silver ,রূপা,
similar ,অনুরূপ,
similarly ,একইভাবে,
simple ,সরল,
simply ,কেবল,
sin ,পাপ,
since ,থেকে,
sing ,গাই,
singer ,গায়ক,
single ,একক,
sink ,ডোবা,
sir ,স্যার,
sister ,বোন,
sit ,বসা,
site ,সাইট,
situation ,অবস্থা,
size ,আকার,
skill ,দক্ষতা,
skin ,ত্বক,
skirt ,স্কার্ট,
sky ,আকাশ,
sleep ,ঘুম,
slice ,টুকরো টুকরো,
slide ,স্লাইড,
slight ,সামান্য,
slightly ,সামান্য,
slim ,পাতলা,
slip ,স্লিপ,
slope ,opeাল,
slow ,ধীর,
slowly ,আস্তে আস্তে,
small ,ছোট,
smart ,স্মার্ট,
smell ,গন্ধ,
smile ,হাসি,
smoke ,ধোঁয়া,
smoking ,ধূমপান,
smooth ,মসৃণ,
snap ,স্ন্যাপ,
snow ,তুষার,
so ,তাই,
soap ,সাবান,
so-called ,তথাকথিত,
social ,সামাজিক,
society ,সমাজ,
sock ,মোজা,
soft ,নরম,
software ,সফটওয়্যার,
soil ,মাটি,
soldier ,সৈনিক,
sole ,একমাত্র,
solicitor ,আইনজীবি,
solid ,শক্ত,
solution ,সমাধান,
solve ,সমাধান,
some ,কিছু,
somebody ,কেউ,
somehow ,একরকম,
someone ,কেউ,
something ,কিছু,
sometimes ,কখনও কখনও,
somewhat ,কিছুটা,
somewhere ,কোথাও,
son ,পুত্র,
song ,গান,
soon ,শীঘ্রই,
sore ,ঘা,
sorry ,দুঃখিত,
sort ,সাজান,
soul ,আত্মা,
sound ,শব্দ,
soup ,স্যুপ,
source ,উৎস,
south ,দক্ষিণ,
southern ,দক্ষিণ,
space ,স্থান,
spare ,অতিরিক্ত,
speak ,কথা বলতে,
speaker ,স্পিকার,
special ,বিশেষ,
specialist ,বিশেষজ্ঞ,
species ,প্রজাতি,
specific ,নির্দিষ্ট,
specifically ,বিশেষভাবে,
specify ,নির্দিষ্ট করা,
speech ,বক্তৃতা,
speed ,দ্রুততা,
spell ,বানান,
spelling ,বানান,
spend ,ব্যয় করা,
spill ,ঝরা,
spin ,স্পিন,
spirit ,আত্মা,
spiritual ,আধ্যাত্মিক,
spite ,তবুও,
split ,বিভক্ত,
spoil ,লুণ্ঠন,
spokesman ,মুখপাত্র,
spoon ,চামচ,
sport ,খেলা,
spot ,স্পট,
spray ,স্প্রে,
spread ,ছড়িয়ে পড়া,
spring ,বসন্ত,
squad ,স্কোয়াড,
square ,বর্গক্ষেত্র,
squeeze ,চাপ,
stable ,স্থিতিশীল,
staff ,কর্মী,
stage ,মঞ্চ,
stair ,সিঁড়ি,
stake ,ঝুঁকি,
stall ,স্টল,
stamp ,ছাপ,
stand ,দাঁড়ানো,
standard ,মান,
star ,তারা,
stare ,তাকান,
start ,শুরু,
starve ,অনাহার,
state ,অবস্থা,
statement ,বিবৃতি,
station ,স্টেশন,
statistic ,পরিসংখ্যান,
status ,অবস্থা,
stay ,থাকা,
steady ,স্থির,
steak ,মাংসের ফালি,
steal ,চুরি করা,
steam ,বাষ্প,
steel ,ইস্পাত,
steep ,খাড়া,
step ,পদক্ষেপ,
stick ,লাঠি,
stiff ,কড়া,
still ,এখনও,
stir ,আলোড়ন,
stock ,স্টক,
stomach ,পেট,
stone ,পাথর,
stop ,থামো,
storage ,স্টোরেজ,
store ,দোকান,
storm ,ঝড়,
story ,গল্প,
straight ,সোজা,
straightforward ,সোজা,
strain ,স্ট্রেন,
strange ,অদ্ভুত,
stranger ,অপরিচিত,
strategic ,কৌশলগত,
strategy ,কৌশল,
straw ,খড়,
strawberry ,স্ট্রবেরি,
stream ,প্রবাহ,
street ,রাস্তা,
strength ,শক্তি,
strengthen ,শক্তিশালী করা,
stress ,চাপ,
stretch ,প্রসারিত,
strict ,কড়া,
strike ,ধর্মঘট,
string ,স্ট্রিং,
strip ,ফালা,
stroke ,স্ট্রোক,
strong ,শক্তিশালী,
strongly ,দৃ .়ভাবে,
structure ,কাঠামো,
struggle ,সংগ্রাম,
student ,ছাত্র,
studio ,স্টুডিও,
study ,অধ্যয়ন,
stuff ,জিনিসপত্র,
stupid ,বোকা,
style ,স্টাইল,
subject ,বিষয়,
submit ,জমা দিন,
subsequent ,পরবর্তী,
subsequently ,পরবর্তীকালে,
substance ,পদার্থ,
substantial ,যথেষ্ট,
succeed ,সফল,
success ,সাফল্য,
successful ,সফল,
successfully ,সাফল্যের সাথে,
such ,যেমন,
suck ,স্তন্যপান,
sudden ,হঠাৎ,
suddenly ,হঠাৎ,
suffer ,ভোগা,
sufficient ,পর্যাপ্ত,
sugar ,চিনি,
suggest ,পরামর্শ,
suggestion ,পরামর্শ,
suit ,মামলা,
suitable ,উপযুক্ত,
sum ,যোগফল,
summer ,গ্রীষ্ম,
sun ,সূর্য,
super ,সুপার,
supermarket ,সুপারমার্কেট,
supper ,নৈশভোজ,
supply ,সরবরাহ,
support ,সমর্থন,
supporter ,সমর্থক,
suppose ,ধরুন,
sure ,নিশ্চিত,
surely ,অবশ্যই,
surface ,পৃষ্ঠতল,
surgery ,সার্জারি,
surprise ,বিস্ময়,
surprised ,অবাক,
surprising ,বিস্ময়কর,
surprisingly ,আশ্চর্যজনকভাবে,
surround ,চারপাশে,
survey ,জরিপ,
survival ,বেঁচে থাকা,
survive ,বেঁচে থাকা,
suspect ,সন্দেহ,
suspicion ,সন্দেহ,
suspicious ,সন্দেহজনক,
sustain ,টিকিয়ে রাখা,
swap ,অদলবদল,
swear ,কসম,
sweep ,পরিষ্কার করা,
sweet ,মিষ্টি,
swim ,সাঁতার,
swimming ,সাঁতার,
swing ,দোল,
switch ,সুইচ,
symbol ,প্রতীক,
sympathy ,সহানুভূতি,
system ,পদ্ধতি,
